,,保存方式,,"蔓越莓益生菌打開後不馬上食用,會壞掉嗎?
蔓越莓益生菌過期了可以吃嗎?
蔓越莓益生菌為什麼不用冰
蔓越莓益生菌可以常溫保存嗎
蔓越莓益生菌一定要冰冰箱嗎?
蔓越莓益生菌應該怎麼保存?","●蔓越莓益生菌放置於陰涼乾燥處保存即可,不需要冰〪    
●主成分優選BACＯ17倍活菌,本身就能抵擋惡劣環境,除此之外,亦添加專利包埋複合菌,經過凍乾包埋技術,能耐胃酸膽鹼,順利抵達消化道,就是因為這些層層把關,才不需要冰,也不需要保鮮充填技術〪",
,適用對象,成人,,什麼人適合吃蔓越莓益生菌?,"●成年女性建議每天補充1包,隨時補充〪  
●若您為下列幾個狀況,可以加強補充:  
★常憋尿的人: 每日2包〪  
★水喝太少的人: 每日2包〪  
★常穿緊身褲的人: 每日2包〪  
★反覆到診所報到的人: 每日2包〪  
★性行為頻繁的女性: 每日2包〪",
,,兒童,,小孩可以吃蔓越莓益生菌嗎?,"●開始上學的女孩,比較容易有憋尿的情形發生,建議可以每天補充半包-1包,隨時補充〪  
●若孩童年紀太小(小於6個月),就容易有不舒服的狀況,建議可先至診所檢查〪  
●若孩童尚未上學,就容易有不舒服的狀況,也建議先至診所檢查,並諮詢醫師後,搭配蔓越莓益生菌使用〪",
,,熟齡族,,長者可以吃蔓越莓益生菌嗎?,"●年紀漸長,保護力與代謝力日趨下降,建議日常補充1包,隨時補充〪  
●若您為下列幾個狀況,建議可以加強補充:  
★常憋尿的人: 每日2包〪  
★水喝太少的人: 每日2包〪  
★常穿緊身褲的人: 每日2包〪  
★反覆到診所報到的人: 每日2包〪",
,,素食者,,蔓越莓益生菌是素食嗎?,"蔓越莓益生菌含有奶類成分,奶素者可食〪",
,,特殊族群,孕哺期,"懷孕可以吃蔓越莓益生菌嗎?
哺乳媽媽可以吃蔓越莓益生菌嗎?","●孕期媽媽非常需要每日補充蔓越莓益生菌,建議一天補充至少1包,閒暇時刻也多補充水分,以提升孕期舒適感受〪  
●懷孕時胎兒會壓迫,且容易頻尿,若剛好碰上天氣變化､水喝較少,或其他外在因素影響,則更需要蔓越莓益生菌來維持女性雙道健康〪  
●部分孕婦､哺乳婦女因體質較敏感特殊,建議食用前先詢問專業醫師〪",
,,,生理期,生理期可以吃蔓越莓益生菌嗎?,"●生理期間可以服用蔓越莓益生菌,以維持女性雙道健康〪  
●但若是身體微恙,或有特殊疾病者,建議食用前先詢問專業醫師〪",
,,,用藥/抗生素者,服用藥物可以吃蔓越莓益生菌嗎?,"●蔓越莓會抑制肝臟代謝藥物的速度(CYP3A4､CYP2C9),恐增加藥物副作用發生的機會〪  
●建議蔓越莓益生菌與藥品的食用時間,需間隔2個小時以上,尤其是上述藥品及抗生素,不能一起使用,因用藥者體質較特殊,也建議食用前先詢問專業醫師〪",
,,,乳糖不耐症,"乳糖不耐症可以吃蔓越莓益生菌嗎?
蔓越莓益生菌是否含有乳醣?","●乳糖不耐症是因缺乏乳糖酶,或活性太低,食用過多乳糖後產生腹瀉等症狀〪經臨床研究指出: 一般人一次食用超過12-15g的乳糖(約300ml牛奶),才會產生症狀*    
●蔓越莓益生菌製程上需添加乳糖,但乳糖量非常低(小於1g,約等於2片披薩上面的起司含量),基本上不會造成腹瀉等症狀〪  
*參考資料: Evid Rep Technol Assess (Full Rep). 2010 Feb;(192):1-410.",
,,,糖尿病,糖尿病可以吃蔓越莓益生菌嗎?,"蔓越莓益生菌每包含糖1.8公克,可列入每日糖分攝取的計算,若需要控制糖量攝取,建議可以與醫師討論後使用〪",
,產品搭配,,,蔓越莓益生菌可以跟什麼產品搭配使用?,"●威德益生菌: 建議日常補充威德益生菌打底,再搭配蔓越莓益生菌,加強女性雙道健康維持,以達到更好的狀態〪  
●益生菌-保護力配方: 在特別不舒服的期間,欲加強維持女性健康,建議每天可再搭配1包保護力配方〪  
●海洋膠原粉+鐵: 女性最在乎的,除了基礎女性健康外,就是希望擁有好氣色,建議每天也可以搭配1包海洋膠原+鐵,達到更迷人的狀態〪",
,常見迷思,男生也需要吃蔓越莓益生菌嗎?,,,"男性補充蔓越莓益生菌也是有幫助的,蔓越莓含有許多花青素,而益生菌能幫助調整消化道菌相,能幫助增強保護力,抵抗外來的威脅,尤其大多數男性的工作很多都在室外,適時補充能帶來幫助〪",
,,抗生素與蔓越莓益生菌需要間隔多久?,,,"建議所有保健食品與藥品的食用時機,都要間隔2個小時以上,尤其是抗生素,不能與益生菌一起使用,會影響效果〪",
,,益生菌跟蔓越莓一起吃有用嗎?,,,"●一般蔓越莓萃取物的酸度很高,與益生菌同時服用,的確可能降低益生菌活性及存活率〪  
●但威德蔓越莓益生菌添加的專利蔓越莓萃取物及專利益生菌,都具特殊包埋,不怕被胃酸破壞,更不需要擔心影響功效〪",
,,可以喝蔓越莓汁就好嗎?,,,"●一瓶250ml的蔓越莓汁就有27公克的糖(熱量111大卡)〪  
●而威德蔓越莓益生菌僅2.3公克的糖(熱量12.3大卡)〪  
●飲用蔓越莓汁會攝取過多不必要的熱量及糖,建議直接補充威德蔓越莓益生菌,方便又能有效攝取到花青素等活性成分〪",
,,為什麼蔓越莓益生菌感覺很多賦形劑?,,"為什麼蔓越莓益生菌成分中,會有糖份跟玉米澱粉這些東西?
為什麼蔓越莓益生菌感覺很多食品添加物?","●威德專利粗顆粒劑型,能提升吸收率,使益生菌功能發揮得更好,在造粒過程中需要玉米澱粉作為載體〪  
●蔓越莓益生菌與市售大多產品一樣使用幫助產品保存穩定的原料,例如抗氧化劑(維生素E)是為了避免產品被氧化,而品質改良劑(二氧化矽)是為了使產品更加穩定〪  
●若沒有這些物質的添加,容易導致品質劣變,在挑選產品時看到成分中含食品添加物,不必心慌,這是在合法範圍中微量添加,幫助品質更加穩定〪",
,,,,,,
,,,,,,
